,Experiment,model,metrics
0,PolynomialRegression,d0_lr0.01_iter100,-1.7798456251528775e+31
1,PolynomialRegression,d0_lr0.01_iter1000,-1.3486381331071356e+31
2,PolynomialRegression,d1_lr0.01_iter100,-2297.5202743714112
3,PolynomialRegression,d1_lr0.01_iter1000,-697.3465641591033
4,PolynomialRegression,d2_lr0.01_iter100,-59.98061247515069
5,PolynomialRegression,d2_lr0.01_iter1000,-4.911209772699289
6,PolynomialRegression,d3_lr0.01_iter100,-17.199903467022462
7,PolynomialRegression,d3_lr0.01_iter1000,0.19380201441242284
8,PolynomialRegression,d4_lr0.01_iter100,-8.317991175201069
9,PolynomialRegression,d4_lr0.01_iter1000,0.6600985073489525
10,PolynomialRegression,d5_lr0.01_iter100,-5.0540843025710815
11,PolynomialRegression,d5_lr0.01_iter1000,0.7100477781340472
12,PolynomialRegression,d6_lr0.01_iter100,-3.5059085802141343
13,PolynomialRegression,d6_lr0.01_iter1000,0.6888521114294905
14,PolynomialRegression,d7_lr0.01_iter100,-2.6642369919348967
15,PolynomialRegression,d7_lr0.01_iter1000,0.6566543307255052
16,PolynomialRegression,d8_lr0.01_iter100,-2.169230065861973
17,PolynomialRegression,d8_lr0.01_iter1000,0.6299867041162479
18,PolynomialRegression,d9_lr0.01_iter100,-1.864779844763285
19,PolynomialRegression,d9_lr0.01_iter1000,0.6138054202736322
20,PolynomialRegression,d10_lr0.01_iter100,-1.6736640550938318
21,PolynomialRegression,d10_lr0.01_iter1000,0.6081815896182711
